Type,2025,2030,2035,2040,2045,2050,2055,2060,Total (2025-2075)
Hydro (including storage pumps),15.4,15.7,15.4,16,16.7,16.9,16.5,16.3,884.5
Nuclear,9.5,5.1,0,0,0,0,0,0,73
Net imports,6.8,10.8,14.7,13.1,11.6,8.8,7.6,6.6,473.5
PV,1.1,2.4,4.1,6.4,8.5,10.5,11.6,12.4,429.5
Wind,0.2,0.4,0.7,1.4,2.1,2.7,2.8,2.8,97
Fossil (CHP and standalone),0.8,0.8,0.9,0.8,0.6,0.5,0.5,0.5,36.5
Geothermal,0,0,0,0.3,0.7,1,1,1,30
From municipal waste,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,19.5
Other,0.3,0.4,0.4,0.6,0.7,0.8,0.9,0.9,36
Biogas,0.1,0.2,0.2,0.4,0.5,0.6,0.7,0.7,25
Biomasse,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.5
From waste water,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.5
